Cluster ID,Resource ID,Resource Name,Account Name,Account Identifier,ClusterRole,FailoverOrder,Last Seen,Engine,Instance Type - Current,Instance Family - Current,Storage Type - Current,Idle,Hours Running,CPU Max,Memory Max,IOPS Max,Storage Throughput Max,Connections Max,Currency Code,Effective Rate - Current,Cost,Recommendation,Instance Recommendation,Instance Type - Recommended,Instance Family - Recommended,Storage Recommendation,Storage Type - Recommended,VCPU - Current,VCPU - Recommended,Memory - Current,Memory - Recommended,IOPS - Current,IOPS - Recommended,Storage - Current,Storage - Recommended,Storage Throughput - Current,Storage Throughput - Recommended,Previous Generation - Recommended,Equivalent Family - Recommended,Equivalent Memory - Recommended,Risk,Effective Rate - Recommended,Savings,Savings Percent,ACC-FDC-DIV,ACC-FDC-ENV,ACC-FDC-ENV2,ACC-FDC-MONTHLY-BUDGET,ACC-FDC-UAID,ACC-FDC-UAID2,ACC-FDC-nodepartment-thisiszone,ACC:FDC:DEPARTMENT,ADS-AWS-TEST-environments,ADS-K8S-TEST-F2NI2LE,APMID,APP-APM-LABEL,AppName,Application UID,Azure Resource Group,Business Unit,DIVISION,FNX Environment ID,Name,Purpose,UAID,argocd-instances,Export Order
wgiftcard-aurora-gfender-test-cluster,arn:aws:rds:us-east-1:958612202038:db:wgiftcard-aurora-gfender-test,wgiftcard-aurora-gfender-test,FDAWS Gift Solutions - Prod,958612202038,Writer,1,2025-06-03T22:00:00Z,Aurora MySQL,db.t3.medium,t3,aurora,0,694.00,69,88,190000,3026,18,USD,0.06,44.96,Rightsize,Rightsize,db.t4g.medium,t4g,,,0.40000,0.40000,4.00000,4.00000,0,N/A,0,N/A,2085,2085,false,false,true,0.00,0.06,4.93,11.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,128
wgiftcard-aurora-gfender-test-cluster,arn:aws:rds:us-east-1:958612202038:db:wgiftcard-aurora-gfender-test-us-east-1e,wgiftcard-aurora-gfender-test-us-east-1e,FDAWS Gift Solutions - Prod,958612202038,Reader (Failover),1,2025-06-03T21:00:00Z,Aurora MySQL,db.t3.medium,t3,aurora,0,694.00,59,73,133,17,18,USD,0.06,44.96,Rightsize,Rightsize,db.t4g.medium,t4g,,,0.40000,0.40000,4.00000,4.00000,0,N/A,0,N/A,2085,2085,false,false,true,0.00,0.06,4.93,11.00,,prod,prod,49200,uaid-05823,uaid-05823,,nss,,,,,,,,,nss,,,,,,129
cert-hyperon-db-cluster,arn:aws:rds:us-west-2:251479011859:db:cert-hyperon-db-secondary-instance,cert-hyperon-db-secondary-instance,fdaws-marketplace-nonprod,251479011859,Writer,0,2025-06-03T21:00:00Z,Aurora PostgreSQL,db.t3.medium,t3,aurora,0,694.00,64,41,5579,63,3,USD,0.06,44.96,Rightsize,Rightsize,db.t4g.medium,t4g,,,0.40000,0.40000,4.00000,4.00000,0,N/A,0,N/A,2085,2085,false,false,true,0.00,0.06,4.93,11.00,,prod,cert,500,uaid-02824+uaid-04538+uaid-04900,infrastructure,,gbs - rocco,,,,,,infrastructure,,,gbs - rocco,,,,,,130
N/A,arn:aws:rds:us-east-1:446589977811:db:bts-dev-api-gateway-east,bts-dev-api-gateway-east,FDAWS BusinessTrack Nonprod,446589977811,Instance,,2025-06-03T21:00:00Z,PostgreSQL,db.t3.small,t3,gp2,0,694.00,54,47,2000,1826,4,USD,0.03,28.24,Rightsize,Rightsize,db.t4g.small,t4g,No Action,gp2,0.40000,0.40000,2.00000,2.00000,300,300,100,100,2085,2085,false,false,true,0.00,0.03,2.19,8.00,,nonprod,nonprod,500,uaid-02135,uaid-05236,,gbs - rocco,,,,,,uaid-05236,,,gbs - rocco,,,,,,131
N/A,arn:aws:rds:us-east-1:446589977811:db:bts-qa-api-gateway-east,bts-qa-api-gateway-east,FDAWS BusinessTrack Nonprod,446589977811,Instance,,2025-06-03T21:00:00Z,PostgreSQL,db.t3.small,t3,gp2,0,694.00,51,47,1984,1824,4,USD,0.03,28.24,Rightsize,Rightsize,db.t4g.small,t4g,No Action,gp2,0.40000,0.40000,2.00000,2.00000,300,300,100,100,2085,2085,false,false,true,0.00,0.03,2.19,8.00,,nonprod,nonprod,500,uaid-02135,uaid-05236,,gbs - rocco,,,,,,uaid-05236,,,gbs - rocco,,,,,,132
N/A,arn:aws:rds:us-west-2:251479011859:db:cert-api-gateway,cert-api-gateway,fdaws-marketplace-nonprod,251479011859,Instance,,2025-06-03T21:00:00Z,PostgreSQL,db.t3.small,t3,gp2,0,694.00,60,46,2001,1823,3,USD,0.03,33.60,Rightsize,Rightsize,db.t4g.small,t4g,No Action,gp2,0.40000,0.40000,2.00000,2.00000,489,489,163,163,2085,2085,false,false,true,0.00,0.03,2.19,7.00,,prod,prod,500,uaid-02824+uaid-04538+uaid-04900,uaid-02824+uaid-04538+uaid-04900,,gbs - rocco,,,,,,,,,gbs - rocco,,,,,,133
N/A,arn:aws:rds:us-west-2:446589977811:db:bts-dev-api-gateway-west,bts-dev-api-gateway-west,FDAWS BusinessTrack Nonprod,446589977811,Instance,,2025-06-03T21:00:00Z,PostgreSQL,db.t3.small,t3,gp2,0,694.00,53,47,2003,1825,5,USD,0.03,28.24,Rightsize,Rightsize,db.t4g.small,t4g,No Action,gp2,0.40000,0.40000,2.00000,2.00000,300,300,100,100,2085,2085,false,false,true,0.00,0.03,2.19,8.00,,nonprod,nonprod,500,uaid-02135,uaid-05236,,gbs - rocco,,,,,,uaid-05236,,,gbs - rocco,,,,,,134
N/A,arn:aws:rds:us-west-2:446589977811:db:bts-qa-api-gateway-west,bts-qa-api-gateway-west,FDAWS BusinessTrack Nonprod,446589977811,Instance,,2025-06-03T21:00:00Z,PostgreSQL,db.t3.small,t3,gp2,0,694.00,62,46,1246,932,6,USD,0.03,28.24,Rightsize,Rightsize,db.t4g.small,t4g,No Action,gp2,0.40000,0.40000,2.00000,2.00000,300,300,100,100,2085,2085,false,false,true,0.00,0.03,2.19,8.00,,nonprod,nonprod,500,uaid-02135,uaid-05236,,gbs - rocco,,,,,,uaid-05236,,,gbs - rocco,,,,,,135
N/A,arn:aws:rds:us-east-1:609417357042:db:gyft,gyft,Gyft Staging,609417357042,Instance,,2025-06-03T22:00:00Z,MySQL,db.t3.medium,t3,gp3,0,694.00,79,94,28790,3158,154,USD,0.05,54.29,Rightsize,Rightsize,db.t4g.medium,t4g,No Action,gp3,0.40000,0.40000,4.00000,4.00000,3000,3000,200,200,2085,2085,false,false,true,0.00,0.05,1.64,3.00,,nonprod,nonprod,4200,uaid-05824,uaid-05824,,nss,,,,,,,,,nss,,,,,,136
N/A,arn:aws:rds:us-east-1:609417357042:db:gyft-replica,gyft-replica,Gyft Staging,609417357042,Instance,,2025-06-03T21:00:00Z,MySQL,db.t3.medium,t3,gp3,0,694.00,81,87,19223,1333,19,USD,0.05,45.78,Rightsize,Rightsize,db.t4g.medium,t4g,No Action,gp3,0.40000,0.40000,4.00000,4.00000,3000,3000,100,100,2085,2085,false,false,true,0.00,0.05,1.64,4.00,,nonprod,nonprod,4200,uaid-05824,uaid-05824,,nss,,,,,,,,,nss,,,,,,137
